Year,Sqft,Bedrooms,Bathrooms,Floors,Price
1987,1370,3,1.75,1,257950
1965,1200,3,1.5,1,242500
1949,1210,2,1,1,235000
2012,2920,4,2.75,2,625000
1944,900,2,1,1,553000
1986,1650,3,2.5,1,379880
1973,1010,3,1,1,310000
1980,2850,3,2.5,2,783500
2004,2680,2,2.5,1,775000
1900,2280,4,2,1,628000
1988,2200,3,2.5,1,365000
1990,2530,4,2.5,2,331950
1999,13540,7,8,3,2280000
2000,2220,2,2.5,2,1430000
1971,4010,5,3.5,2,1400000
1992,4340,4,2.5,2.5,1090000
1976,3190,5,2.75,1,1030000
1928,1330,3,1,1,900000
2006,4420,4,4.25,2,890000
2006,4490,5,3.5,2,890000
1998,3690,4,3,2,865000
1960,2600,4,2.75,1,855000
1982,2170,4,3,2,831000
2007,3400,4,2.5,2,830000
1908,2920,6,1.75,2.5,823000
1990,3180,5,2.5,2,800866
1994,3240,3,2.5,2,800000
1961,1330,3,1.75,1,787000
1996,2730,4,2.5,2,780000
1939,2350,3,2,1.5,770000
1960,2120,4,2.5,1,755000
1902,2010,4,1.75,1.5,740000
2000,3180,4,2.5,2,736500
2013,2450,4,2.5,2,712198
2003,2490,3,2.5,2,705380
1909,1680,3,2.5,3,670000
1963,2800,4,2.5,1,665000
1924,1390,4,1,1,657100
1949,2160,3,1.5,1,650000
2014,2440,4,2.5,2,631625
1973,1990,4,2.25,1,627000
2005,1480,3,1.75,2.5,620000
1942,1800,3,2,1,618500
1977,2300,4,1.75,1,615000
1976,1670,3,1.75,1,600000
1945,1880,3,1.75,1,600000
1949,1770,2,1,1.5,585000
1942,2540,2,1,1,580000
1975,2010,3,2.25,1,570000
1987,1900,3,2.5,2,560000
2009,1940,3,2.5,2,555000
1908,1140,2,1,1,549000
2008,2910,4,2.5,2,549000
1960,2740,5,2.75,1,541125
2000,1270,2,3,2,531000
1960,2550,5,1.75,1,525888
1944,1560,3,1.75,1,524000
2010,1790,3,2.5,2,509900
1963,2070,4,1,1,501000
2006,2910,4,2.5,2,499000
1953,3200,6,2.75,1,497300
1977,2010,4,1.75,1,487585
1979,2340,4,3,1,485000
2007,3040,3,2.5,2,478000
1928,1480,4,2,1.5,449250
1942,1840,5,2,1,435000
2014,1590,2,2.5,2,419190
1930,1410,3,2,1.5,418000
2005,1408,3,2.5,3,416286
2010,1620,3,2.25,2.5,415000
1978,1800,3,2.25,1,410000
2005,1410,3,2.25,3,406100
2006,1410,2,3,2,405000
1948,2110,2,1.75,1,400000
1955,840,2,1,1,400000
1954,2230,3,2.5,2,398750
1968,3090,5,2.5,1,384900
1960,1970,4,1.75,1,379950
2008,1571,3,3,3,366750
1962,1120,5,1,1.5,340000
2001,1160,2,1.5,2,340000
1949,1140,2,1,1.5,329950
1998,2370,4,2.5,2,328000
2006,2310,4,2.75,2,309950
1994,1880,3,2.5,2,309950
1986,1050,3,2,1,300000
1953,1450,3,1,1,287000
1958,1550,3,2,1,249950
1984,1920,3,1.75,1,245000
1958,1200,2,1,1,232000
1971,1240,4,1.5,1,220000
1969,1120,4,1.5,1,219900
1953,1340,3,1,1,210000
1956,2050,5,2,1,210000
1944,810,2,1,1,206000
1962,1490,3,1.75,1,184000
1969,4510,5,4,2,1870000
2013,4490,5,5,2,1800000
1950,3760,4,3.25,1.5,1580000
1928,3490,4,2.25,2,1230000
1970,3370,4,2.75,1,1140000
2008,2200,3,2.5,2,1050000
2014,2690,3,2.5,3,979000
1954,3020,3,3.5,2,910000
2000,3740,4,2,2,860000
2008,3040,4,2.5,2,776000
1987,3880,4,2.5,2,762300
1988,2290,4,2.5,2,736000
1998,3200,4,2.5,2,725126
1999,3030,4,2.5,2,685000
1951,930,2,1,1,675000
2000,3380,4,3.5,2,655500
1940,1630,3,1.5,1,650000
1983,3480,5,3.5,2,650000
1949,2060,4,2,1,612500
1967,2450,4,3,1,610000
1985,2150,4,2.5,2,609000
1987,2110,4,2.5,2,606000
1977,2260,4,2.25,2,599000
2013,3569,4,3.25,2,580000
1954,2130,3,1.75,1,575000
1996,3100,4,3,2,563000
1984,3040,5,2.25,2,562000
1916,2000,3,2,2,561000
1991,1850,3,2.5,2,535000
1926,1800,5,2.75,1.5,533000
1964,2910,5,2.5,1,530000
1995,2970,3,2.5,1,525000
1980,2460,3,2.5,2,520000
1956,1430,3,1.5,1,518000
1989,1790,3,2.5,2,515000
1996,2000,4,2.5,2,513000
2006,1480,3,2.5,3,500000
1903,1170,2,1.75,1,499000
1938,2020,5,2,1.5,488000
1905,1420,3,2,1.5,485000
1942,1660,2,1.75,1,484000
1995,2740,4,2.5,2,483500
1924,3470,6,3,1.5,475000
1924,1030,2,1,1,469000
1967,1970,3,2.25,1,465000
2004,1230,2,2.25,2,460000
1978,2240,5,2.5,1,455000
1912,1100,2,2,1.5,450000
1967,1520,4,2,1,425000
1958,2810,4,2.25,1,407000
1958,1840,4,1.75,1,404000
1971,1440,4,2,1,397000
1966,1260,3,1.75,1,390000
2006,2890,5,3.75,1,390000
1962,1230,3,1,1,387000
1982,1900,3,1.75,1,385000
1955,1500,4,1.75,1,379900
2006,1270,3,2,3,369950
1961,1410,3,1.5,1,367500
1950,1310,3,1.5,1,365000
1963,1640,3,2.25,1,362000
1965,2680,4,2,1,360000
1947,1350,3,1,1,353000
2007,2331,4,2.5,2,345000
1956,1110,3,1,1,345000
1942,720,2,1,1,329350
1980,1890,4,2.5,1,325000
1940,1510,3,1,1,313950
1950,1300,4,2,1,312000
1974,1980,3,2.25,1,295000
2003,2000,4,2.5,2,284000
1971,1630,3,1.75,1,280000
1962,1580,3,1.75,1,279900
1998,1650,3,2.5,2,272000
1954,1050,3,1,1,250000
1975,1490,3,1.75,1,234000
1952,900,2,1,1,219000
1979,1850,3,1.75,1,218000
1976,1690,3,1.75,1,197000
1959,800,3,1.5,1,191000
1954,1010,3,1,1,175000
1962,1420,3,1.5,1,136500
1942,780,2,1,1,78000
1910,6210,7,4.5,2.5,3200000
2007,4270,5,4.5,2,1530000
1914,3560,6,2.5,2.5,1500000
1937,2960,3,3,2,1340000
2001,4460,4,4,2,1150000
1950,2310,4,1.5,1,1110000
2006,3900,4,3.5,2,1040000
1963,1890,4,2.25,1,940000
1985,4130,5,3.75,2,900000
1954,2210,4,2,1,794154
1905,2540,3,2,1.5,775000
1956,2410,4,2.75,1,758000
1946,2520,3,2.75,1,750000
1949,2600,4,2.75,2,749950
1905,2650,4,2.5,1.5,705000
1942,1760,3,2,1,690000
1959,1680,3,1.75,1,675000
1990,3680,4,4,2,675000
1991,3240,3,2.5,2,651000
2002,2270,3,3,2,640000
1995,2680,3,2.5,2,630000
2011,2550,2,2.25,1,630000
1988,2030,3,2.5,2,618080
2014,1680,3,3,3,610950
1977,2460,3,2.5,1,600000
1938,3830,9,4.5,2.5,599999
1920,1960,3,1.75,1,599000
1961,2510,4,2,1,581000
1955,1650,4,2,1,575000
1929,2350,3,2,1.5,568000
1994,4120,3,3,2,560000
1985,1860,3,2,1,560000
1948,3700,7,5.75,2,540000
1988,2720,3,1.75,1.5,535000
2006,2280,3,2.5,2,535000
1910,1340,3,1,1,530000
1900,1550,2,2,1.5,526000
2014,1170,3,2.25,3,519950
1967,1580,3,1.75,1,515000
2003,2430,4,2.5,2,510000
1980,1540,3,2.75,1,503000
1906,1010,2,1,1.5,500000
1987,1940,3,2.5,1,500000
1943,990,3,1,1,495000
2014,2656,4,2.75,2,495000
1922,3305,4,2.5,1.5,492000
1917,1610,3,2,1,485000
1968,2180,4,2.5,1,480500
1921,820,2,1,1,475000
1985,1760,3,2,2,460000
1947,1500,3,1.75,1,440000
2003,1350,2,2,1,428000
2008,1150,2,2.5,3,425000
1904,1040,2,1.5,1.5,420000
1977,1770,3,2.25,2,420000
2009,1606,3,2.25,3,417250
1991,1830,4,3,2,415000
1968,2140,4,2.75,1,409500
1961,1660,3,2.25,1,405000
1958,3000,5,1.75,1,380000
1978,1640,2,1,1,379500
1990,1830,3,2.5,2,375000
2008,2410,5,2.75,1,365000
1944,820,2,1,1,361280
1978,2420,5,2.5,1,352000
1981,1010,3,1,1,350000
1985,1630,3,2.25,2,339950
2006,820,2,1,3,339950
1952,1570,3,2,1,335000
1968,1040,3,1,1,314950
1957,1870,3,1.75,1,314500
1967,2190,3,1.75,1,313000
1974,1840,3,1.75,1,310000
1973,2070,3,1.75,1,310000
2013,1600,3,2.5,2,305450
1913,760,2,1,1,300000
2000,1600,3,2.5,2,280000
1993,1600,3,2.5,2,275000
1920,1500,5,1.5,1,265000
1962,2060,5,2.25,1,255000
1994,1250,3,1.75,1,253000
1947,1100,1,1,1,250000
1952,1110,3,1,1,249000
1960,1720,4,1.75,1,248500
1944,1400,3,1,1,246000
2005,1260,3,1.5,2,245000
1985,1410,3,2,1,239900
1988,1920,3,2.5,2,230000
1988,1640,3,1.75,1,226500
1960,1380,3,1.5,1,209950
1969,1490,4,1,1,185000
1912,1040,2,1,1,160000
1956,910,2,1,1,100000
1906,3510,6,3,2.5,1750000
1952,2430,3,1.75,1,1500000
1932,2800,5,3.25,1.5,1310000
1990,3820,4,3.25,2,1250000
1964,2920,4,3,1,1050000
1910,3410,4,1,2,1040000
2007,2015,3,2.75,2,988500
1971,3160,5,2.5,1,980000
1912,2640,3,3.25,2,930000
2008,2920,3,2.5,3,868500
1941,1910,4,2,1.5,835000
1968,3040,5,3,1,830000
2011,3010,3,2.75,2,785000
1950,2480,4,1.75,1,780000
2003,2660,4,2.5,2,753888
1928,1690,3,2.5,1.5,719000
2002,3290,4,2.5,2,716500
1900,1250,3,1,1.5,712000
1918,1320,3,1.75,1.5,660000
1947,2060,4,1.75,1,647500
1925,1230,2,1.75,1.5,636000
1946,1540,2,1,1,615000
1991,1750,3,2.5,2,595000
1993,3160,2,3,2,589900
1980,2250,4,2.25,2,569000
2006,1870,2,2,1,559950
1997,1360,2,2.5,2,553650
1988,1780,3,2.25,2,545000
1940,2820,6,2.25,1.5,543200
1967,1840,4,1.75,1,538000
2005,2550,4,2.5,2,537500
2004,2280,4,2.5,2,535000
1967,1670,3,1,1,533000
1973,1980,3,1.75,1,530000
1930,2280,4,2.75,1.5,530000
1974,2430,3,2.25,1,524000
1926,1060,2,1,1,515000
2012,1410,3,1.75,3,500000
2005,1110,2,1.5,2,499000
2011,2310,3,2.5,2,494000
1975,2440,5,2.25,1.5,489990
1954,1510,3,2,1,450000
2008,1020,2,1.5,3,441750
2010,980,2,1,2,438000
1976,1310,3,1.75,1,437000
1979,1460,3,1.75,1,424500
2008,1540,3,2.5,3,413450
1948,1020,2,1,1,405000
2012,2090,3,2.75,2,403000
1977,1960,3,2.5,1,402000
1944,1890,3,1.75,1,385000
2012,3206,6,2.25,2,375000
1993,960,2,1.5,2,358000
1940,2250,4,1.75,1,350000
1988,1590,3,1.75,1,349000
1989,2460,4,2.5,2,347500
1980,2240,3,1.5,1.5,335000
1972,1550,2,2,1.5,330000
2004,2320,4,2.5,2,325900
2007,860,2,1.25,2,321950
1966,1890,3,1.75,1,307000
1967,1240,3,2,1,297950
1973,2200,2,1.75,1,295000
1993,1920,3,2.5,2,295000
1994,1810,4,2.5,2,270000
1989,1940,3,2.5,1,266000
2002,2020,4,2.5,2,262000
1962,2130,4,1.5,1,260000
1977,1730,4,1.75,1,258000
1975,1390,3,1.75,1,246000
1955,1260,3,1.5,1,245000
1923,1270,2,1,1,235000
1939,950,3,1.75,1,230000
1960,1390,3,1,1,230000
2002,1190,3,2.5,2,229000
1965,2000,4,1.75,1,228000
1959,2100,4,1,1,211000
1954,1490,3,1,1,207000
1955,720,2,1,1,205000
1922,980,2,1.5,2,134000
1951,520,2,1,1,82500
2001,3000,3,2.25,1.5,2400000
2010,7270,5,6.5,2,2240000
1987,5190,5,4.5,2,1700000
1962,3720,4,2.75,1,1370000
1996,5860,4,4.25,2,1160000
1989,4230,4,2.25,2,985000
1976,3750,4,3,2,920000
1987,3560,3,2.5,2,851000
2013,3810,4,3.5,1,839900
1999,3780,4,2.75,2,833000
2007,3540,4,3.25,2,800000
1979,2830,4,2.5,2,782000
2006,2730,4,3.5,2,769900
1996,2790,4,2.75,2,765000
2006,2950,3,2.25,1.5,759000
1919,3100,4,2.75,2,742500
2007,2200,2,2.5,1,705000
1976,2480,3,3,1,610000
1989,2260,4,2.5,2,604000
1993,2430,4,2.25,1,590000
1982,2400,4,3.25,2,585000
2001,2660,4,2.5,2,583000
1998,2840,4,2.5,2,580000
1980,1660,3,2.25,1,566000
1984,2470,4,2.25,2,565000
2012,2840,4,2.5,2,557000
1978,2330,4,2.5,2,542500
1926,2000,4,1.75,1.5,536500
1925,1300,3,1.75,1.5,536000
1976,3480,5,3,1,532000
1991,2030,3,2.5,2,525000
1963,1400,3,2,1,511555
1999,2100,3,2.5,2,505000
1987,1750,3,1.75,1,491300
1910,1840,2,1,1.5,490000
1940,1410,3,2,1,481450
1968,1930,4,2.5,1,465000
1905,1150,2,1,1,463000
1926,1750,4,1.75,1.5,460000
1959,1650,4,2,1,445000
1940,1150,2,2,1,445000
1960,2170,4,2.25,1,431000
1911,1620,3,1,1.5,428750
1992,3060,4,2.25,2,415000
1988,2600,4,2.5,2,402500
2003,1445,3,2.25,2,387000
2005,1410,3,3.25,3,382000
2008,1340,3,2,3,376000
1956,1420,2,1,1,360000
1972,1640,3,2.25,1,352000
1979,1780,3,1.75,1,336900
2003,1940,4,2.5,2,330000
2007,1352,3,2.25,3,325000
1976,1470,4,1.5,1,325000
2007,998,3,2.25,2,324000
1977,1970,4,2.75,1,323000
1980,2310,4,2.25,2,320000
1956,2320,5,1.75,1,315000
1984,1930,4,2.25,1,312000
1977,2130,4,2.25,1,311100
1973,1060,3,1.5,1,303500
1968,2000,4,2.5,1,290000
1912,1390,3,1.75,1,280950
1977,2190,4,2,1,280000
1922,1390,3,1.5,1,275000
1953,1500,3,1.5,1,270000
1969,1690,3,2,1,270000
1969,1920,3,2,1,260000
1963,1420,3,2.5,1,260000
1984,960,2,1,1,255000
1928,810,2,1,1,255000
2003,1850,3,2.5,2,254000
1947,1030,3,1,1,252500
1962,1220,3,1.75,1,251000
2006,2163,4,3,2,248000
1977,1360,3,1,1,234950
1992,2000,3,2.5,2,225000
1983,1430,4,1,1.5,224500
2004,1020,2,1.5,2,212000
1959,1160,3,1,1,201500
1950,720,2,1,1,195000
1921,2520,4,2,1,875000
1979,3060,5,2.75,1,549900
2006,1350,3,2.5,3,394950
2003,2130,3,2.5,2,320000
1962,1940,4,1,1,265000
1902,2160,4,2.5,2.5,842500
2007,1370,3,2.5,2,368000
1975,3650,5,2.75,1,1580000
1963,3380,5,1.75,1,1350000
2004,3460,4,3.5,2,1320000
1918,2330,4,3.25,2,1300000
2012,3490,4,3.75,2,1260000
2001,5420,4,4.5,1,1230000
1976,3070,4,2.25,1,1230000
1928,1560,3,1.75,1.5,1200000
1982,3720,3,2.5,2,1080000
2008,3280,4,3.75,2,1050000
2014,3270,4,3.25,2,1030000
1954,2920,3,2.5,1,1020000
2003,4530,5,3,1.5,950000
1968,3290,4,2.25,1.5,947500
1917,2980,3,2.75,1.5,947500
1953,3300,4,2.75,2,927000
1962,2700,3,2,1,910000
1978,4700,4,3.25,2,900000
1995,2830,4,2.5,2,885000
1928,2170,3,3.25,1.5,876650
1910,2350,4,2.5,1.5,870300
1961,2350,4,1.75,1,850000
1936,2600,4,2.75,1.5,840000
2006,4630,5,4.5,2,809000
2003,3680,4,3.25,2,788000
1954,1720,3,1.75,1,770000
2004,3110,4,2.5,2,751000
2000,2980,4,2.5,2,750000
1992,2620,3,2.5,2,746000
1928,2760,4,2.5,1.5,734200
1989,2670,4,2.5,2,690000
1964,2400,4,3,1,675000
1964,2550,4,2.5,1,660000
1999,3040,4,2.5,2,647000
2010,1570,3,2.5,3,635000
1911,1770,4,2,2,630000
1954,1620,3,1.5,1,620000
1919,2040,2,1.75,1.5,615000
1930,2110,4,3,1.5,610000
1951,2120,4,1.75,1,582000
1986,2560,3,2,1,560000
1990,2540,4,2.25,1,540000
1980,1800,4,2.25,1,522000
1922,1940,4,1.75,1,505000
1978,2780,4,2.5,1,505000
2007,1290,2,2.25,3,500000
1941,980,3,1,1,499950
2004,1230,2,2.5,2,490000
1956,2020,3,1.5,1,465000
2014,2010,3,2.5,2,453246
1959,1770,3,1.5,1,450000
2009,1480,2,2.5,3,420000
1987,2200,3,2.25,2,410000
2010,2160,4,2.5,2,383000
2004,2480,5,3,1,372500
2009,980,2,2.5,2,369000
1968,1280,3,1,1,368000
1943,1730,4,2,1,360000
1997,2380,4,2.5,2,357000
1906,910,2,1,1.5,350000
1952,1720,3,1.5,1.5,341000
1955,1080,3,1,1,339000
2004,1940,3,2.5,2,335000
2013,2100,5,3,1,330000
1951,1440,3,1.75,1,315275
1986,2180,5,2.25,2,302000
2005,830,2,1.5,2,301500
1975,1360,2,1.75,1,300000
1942,1830,3,1,1,270000
2008,1290,2,1,2,265000
1910,1220,2,1,1,255000
1941,810,1,1,1,235000
1966,990,3,1,1,225000
1941,1350,3,1.5,1,211000
2004,1040,3,2.5,2,210000
1969,1460,3,1,1,201000
1953,700,2,1,1,192000
1961,1370,3,1.5,1,185000
1959,970,3,1,1,156000
1945,1250,3,1,1,110000
1923,5300,4,2.5,2,2560000
2013,4430,5,4,2,2450000
2008,5030,4,4.5,2,2450000
1969,3120,5,2.25,2,1900000
1989,4860,5,3.25,2,1680000
1982,3370,5,3.25,1,1550000
2001,3530,5,4.25,2,1400000
1905,2740,4,1.5,2,1110000
2003,4400,4,3.25,2,1050000
2000,3490,4,2.5,2,975000
2006,3520,4,2.5,2.5,870000
1986,3560,4,2.5,1,860000
2013,3150,5,2.75,2,819900
1906,2890,6,3,2.5,799200
1967,2340,3,1.75,1,780000
2003,3610,3,3.25,2,777000
1927,1780,3,2.25,1.5,771000
2007,3190,3,3.25,2,757000
1956,1310,3,1.5,1,717000
1975,2030,3,2.5,2,700000
2006,3000,4,2.5,2,675000
1968,3410,5,3,1,675000
1944,1940,3,2,1.5,665000
2012,3400,4,3.5,2,660000
1993,2740,4,2.5,2,651000
2013,2210,4,2.5,2,650000
1975,1740,3,2.5,2,645000
1969,1950,4,1.75,1,635000
1958,2260,4,2,1,628000
2009,1810,3,3.5,2,625000
1909,1710,3,1,1.5,620000
1922,1680,3,1.75,1,591000
1977,2710,4,2.25,2,591000
1963,2090,4,1.75,1,581000
1964,2290,5,2,1,580000
1951,1580,3,1.75,1,575000
1937,1530,3,2,1,570000
1910,1440,3,1,2,560000
1956,2250,4,2,1,550000
1970,3440,7,4,2,550000
2006,1680,2,2,1,530000
1958,1690,3,1.75,1,530000
1994,2450,5,3,2,525000
2007,2876,3,3.5,2,525000
2008,1580,3,2.5,2,525000
1957,1240,3,1.5,1,523000
2009,2790,4,2.5,2,505000
2012,2040,4,2.5,2,502000
1976,3830,5,4.75,1,480000
2004,3740,4,2.5,1,475000
1950,1270,3,1.5,1,465000
1959,3400,5,2.5,1,464000
1977,2350,3,2.25,1,460000
2001,3360,4,2.5,2,455000
2010,1250,3,2.75,2,450000
1978,2450,3,2.25,1,450000
1954,1770,3,2,1,449500
2002,2140,4,2.25,2,435000
1911,1960,3,1.75,1,415000
1925,1410,4,1,1,413000
1956,2180,4,1.75,1,405000
1943,1480,3,2,1,385000
1953,1190,3,1,1,375000
2006,3001,5,2.5,2,373000
1951,1650,3,1.75,1,370000
2004,1490,3,2.5,3,354901
1977,2010,3,2.5,2,350000
1968,1090,3,1.75,1,345000
2007,1450,3,2.5,1,330000
1989,1350,3,2,1,322500
1968,1390,3,1,1,319000
1981,1090,3,1,1,289000
1990,1950,3,2.5,2,287600
1987,1490,3,2.25,1,287000
1973,1090,3,1,1,285000
1954,2180,4,1.5,1,273000
1972,2510,4,2.25,1,267345
1962,2020,5,1.75,1,245000
1942,1900,3,1,1.5,239950
1931,650,2,0.75,1,230000
1967,1250,3,1.5,1,225000
1939,1950,4,1.5,1.5,225000
1947,1040,3,1,1,225000
1963,1660,3,1,1,225000
1943,910,2,1,1,155000
1973,790,2,1,1,90000
1968,3260,4,2.75,1,1880000
1981,2550,3,2.5,2,1400000
2007,4910,4,3.5,1.5,1220000
1988,4470,4,2.25,2,1120000
1955,2290,4,2,1,1060000
2008,3810,5,4.5,2,966000
1972,2510,5,2.25,2,955000
1995,3320,4,2.5,2,950000
1954,3100,3,2.5,1,930000
1958,2190,4,2.5,2.5,925000
1986,2580,3,2.5,2,802000
1906,1700,3,1,1.5,800000
2007,2470,3,2.75,2,773000
1992,3030,3,2.5,1.5,766950
1984,5774,5,5,1,740000
2000,3430,4,2.5,2,740000
2004,2700,4,2.5,2,723000
1941,2060,4,2.25,1,715000
2004,3200,4,3.25,2,707000
1926,2360,3,1.5,2,702500
1903,1830,3,1.75,1.5,682000
1993,2470,4,2.5,2,633100
1966,1680,4,2.75,1,625000
1929,2540,5,2.5,2,620000
1923,2220,5,1.75,1.5,607500
1948,1159,2,1.5,1,582500
1989,2240,4,2.5,2,565000
1957,1830,3,1.5,1,562000
1921,2000,3,1.75,1,546000
1962,2090,3,2.5,1,543000
1992,2370,2,2,1.5,543000
1955,1900,4,1.75,1,542000
1904,1400,3,1.75,1.5,538000
1974,2450,4,2.75,1,530000
1924,1600,3,1.75,1.5,525000
2005,1820,3,2.5,2,511000
1986,2170,3,1.75,1,510000
1959,2090,3,2,1.5,499000
1973,2270,4,2.75,1,498000
1965,1850,3,2.75,1.5,489200
1978,2150,4,2.5,1,486000
1991,2310,4,2.5,2,470000
1940,1660,3,1,1,458000
1989,2910,3,2.5,2,450000
2008,2580,3,2.75,2,437000
1999,3040,4,2.5,2,420000
1947,840,2,1,1,405100
1918,980,2,1,1,400000
1955,830,2,1,1,394475
1947,1620,4,1.75,1,385000
2014,1690,3,2.5,2,372977
1951,1290,3,1,1,372220
1957,2010,4,1.75,1,364000
1980,2100,3,3.5,2,356000
2005,2257,5,3,1,349950
1984,2120,3,2.25,2,345000
1997,1970,3,2.25,2,340000
1906,1050,3,1,1.5,339950
1956,1700,5,2,1,337500
1990,2220,3,2.5,2,325000
2012,1840,3,2.5,2,317000
1995,2010,4,2.5,2,316000
1953,1050,3,1,1,310000
1952,1480,3,1,1,310000
2007,1220,3,1.5,3,306000
1966,2110,3,1.75,2,305495
1966,1590,4,1.5,1,305000
1946,1260,3,1,1,300000
1950,1250,2,1.75,1,299000
1949,700,2,1,1,267800
1986,1780,3,2.5,1,266000
1998,1570,3,2,1,265000
1952,1850,3,2,1,257200
2006,2230,4,2.5,2,253000
1975,1630,4,2,1,234000
1973,1340,3,1.75,1,223000
1967,1240,2,1,1,215000
1911,1170,2,1,1,175000
1963,860,3,1,1,160000
1952,700,2,1,1,155000
1978,1100,3,1,1,139000
1962,3550,4,1.75,2,2100000
2006,3200,4,2.5,2,1260000
2006,4210,4,3.5,2,1150000
1988,3740,4,3.25,1,1090000
1990,3920,5,4.25,2,1000000
2013,3950,4,2.5,3,914500
1947,2930,4,1.75,1,840000
1955,1230,3,1,1,839000
2013,3930,4,3.5,2,828950
2013,3030,5,2.75,2,819995
2004,3310,4,2.5,2,803100
1940,1790,3,1.75,1,790000
1999,3580,5,3.75,2,765000
1985,3240,4,2.5,2,749400
1941,1980,4,3,2.5,744000
2007,3150,3,2.5,2,720000
2001,3150,4,3,2,695000
1986,4560,3,2.5,2,695000
2003,2740,4,3.25,2,689900
1947,2560,4,2,1,640000
1989,2680,4,2.5,2,620000
1909,1550,4,2,1.5,613000
1983,2240,4,2.5,1,592500
1921,2000,5,1.75,2,585000
1986,2550,4,2.75,1,582800
1996,2360,3,2.5,2,580050
1946,1490,2,1,1,575000
1979,3020,4,2.5,1,575000
1980,1980,3,2.25,1,550000
1991,2700,3,2.5,2,525000
1997,1840,3,2.5,2,512500
1995,2240,4,2.5,2,497000
1941,2050,4,2,1.5,495000
1961,2870,7,3.5,1,475000
1946,1660,3,1,1,467000
1959,1260,3,1.5,1,465750
1924,1410,3,1.75,1,465000
1980,1870,3,2.5,1,455000
1912,1320,2,1,1,451555
1973,1510,3,2,1,430000
1976,1880,4,1.75,1,423000
1977,1640,3,2,1,420000
1956,1340,3,1.5,1,417000
1963,1490,3,1.5,1,412500
1953,1630,3,1,1,400000
1955,1120,3,1.5,1,395300
1996,2240,3,2.5,2,390000
2010,1720,3,2.5,2,386380
1960,1890,4,1.75,1,375000
1998,2710,4,2.5,2,370000
1940,1680,3,1.75,1,350000
1957,1400,3,1,1,349950
1994,1700,3,2.5,2,349950
2007,1232,3,2.5,3,344000
1960,2290,4,1.75,1,343000
1986,1180,3,2.25,2,342400
1948,1960,3,1.75,1,340000
1991,2150,3,2.25,2,335000
1991,2150,4,2.5,2,316500
1919,880,2,1,1,312500
2009,1490,3,2.25,2,312000
1963,2020,4,1.75,1,302000
1955,1220,3,1,1,300000
1986,850,3,1.5,1,295000
1959,1330,3,1,1.5,280000
2004,1840,4,2.5,2,275000
1969,1010,3,1,1,270000
1991,1590,3,2.25,2,263000
2003,1690,3,2.5,2,256883
1989,2070,4,2.5,2,255000
1979,1650,3,2,1,252350
1957,1230,3,1,1,250000
1990,1490,3,1.75,1,245000
1948,1400,3,2,1,240000
1979,1400,3,2,1,225000
1959,1040,3,1,1,217450
1969,1160,3,1,1,215000
1967,1670,4,2,1,204700
1903,980,3,1,1.5,197500
1967,1090,3,1,1,190000
1932,1150,3,1,1,185000
1970,1060,3,1,1,174950
1991,6490,5,4.25,2,2000000
2008,5520,4,3,2,1270000
1947,2220,3,2,1,875000
1996,3280,4,2.75,2,862500
